subjects,items,type,ans
26,47,strong,1
29,47,strong,1
32,47,strong,1
12,47,strong,1
11,47,strong,1
6,47,strong,1
22,47,strong,1
27,47,strong,1
1,47,strong,1
5,47,strong,1
9,47,strong,1
10,47,strong,1
13,47,strong,1
15,47,strong,1
18,47,strong,1
19,47,strong,1
24,47,strong,1
28,47,strong,1
30,47,strong,1
31,47,strong,1
34,47,strong,1
2,47,strong,1
20,47,strong,1
3,47,strong,1
7,47,strong,1
23,47,strong,1
35,47,strong,1
4,47,strong,1
8,47,strong,1
33,47,strong,1
21,47,strong,1
30,48,strong,1
24,48,strong,1
29,48,strong,1
26,48,strong,1
19,48,strong,1
5,48,strong,1
10,48,strong,1
18,48,strong,1
22,48,strong,1
31,48,strong,1
4,48,strong,1
9,48,strong,1
13,48,strong,1
20,48,strong,1
21,48,strong,1
25,48,strong,1
14,48,strong,1
27,48,strong,1
1,48,strong,1
2,48,strong,1
3,48,strong,1
8,48,strong,1
11,48,strong,1
12,48,strong,1
15,48,strong,1
23,48,strong,1
28,48,strong,1
34,48,strong,1
35,48,strong,1
32,48,strong,1
33,48,strong,1
6,48,strong,1
25,49,strong,1
1,49,strong,1
26,49,strong,1
14,49,strong,1
29,49,strong,1
7,49,strong,1
28,49,strong,1
23,49,strong,1
35,49,strong,1
18,49,strong,1
33,49,strong,1
2,49,strong,1
10,49,strong,1
16,49,strong,1
20,49,strong,1
22,49,strong,1
27,49,strong,1
30,49,strong,1
34,49,strong,1
13,49,strong,1
15,49,strong,1
24,49,strong,1
21,49,strong,1
11,49,strong,1
6,49,strong,1
31,49,strong,1
3,49,strong,1
4,49,strong,1
8,49,strong,1
9,49,strong,1
19,49,strong,1
32,49,strong,1
29,50,strong,1
32,50,strong,1
6,50,strong,1
13,50,strong,1
16,50,strong,1
31,50,strong,1
21,50,strong,1
18,50,strong,1
5,50,strong,1
27,50,strong,1
4,50,strong,1
14,50,strong,1
10,50,strong,1
24,50,strong,1
12,51,strong,1
32,51,strong,1
11,51,strong,1
1,51,strong,1
26,51,strong,1
29,51,strong,1
13,51,strong,1
21,51,strong,1
5,51,strong,1
35,51,strong,1
3,51,strong,1
6,51,strong,1
7,51,strong,1
19,51,strong,1
22,51,strong,1
23,51,strong,1
4,51,strong,1
8,51,strong,1
9,51,strong,1
10,51,strong,1
16,51,strong,1
20,51,strong,1
24,51,strong,1
28,51,strong,1
30,51,strong,1
33,51,strong,1
18,51,strong,1
27,51,strong,1
34,51,strong,1
14,51,strong,1
15,51,strong,1
31,51,strong,1
25,51,strong,1
25,52,strong,1
26,52,strong,1
29,52,strong,1
30,52,strong,1
1,53,strong,1
26,53,strong,1
29,53,strong,1
32,53,strong,1
7,53,strong,1
30,53,strong,1
22,53,strong,1
2,53,strong,1
3,53,strong,1
4,53,strong,1
5,53,strong,1
6,53,strong,1
8,53,strong,1
9,53,strong,1
10,53,strong,1
11,53,strong,1
12,53,strong,1
13,53,strong,1
14,53,strong,1
15,53,strong,1
18,53,strong,1
19,53,strong,1
20,53,strong,1
23,53,strong,1
24,53,strong,1
28,53,strong,1
31,53,strong,1
33,53,strong,1
34,53,strong,1
35,53,strong,1
27,53,strong,1
25,53,strong,1
21,53,strong,1
16,53,strong,1
13,54,strong,1
26,54,strong,1
32,54,strong,1
1,54,strong,1
29,54,strong,1
23,54,strong,1
4,54,strong,1
7,54,strong,1
10,54,strong,1
12,54,strong,1
20,54,strong,1
30,54,strong,1
22,54,strong,1
25,54,strong,1
35,54,strong,1
2,54,strong,1
27,54,strong,1
31,54,strong,1
34,54,strong,1
21,54,strong,1
3,54,strong,1
5,54,strong,1
6,54,strong,1
8,54,strong,1
9,54,strong,1
11,54,strong,1
14,54,strong,1
15,54,strong,1
16,54,strong,1
18,54,strong,1
19,54,strong,1
24,54,strong,1
28,54,strong,1
33,54,strong,1
21,55,strong,1
26,55,strong,1
13,55,strong,1
14,55,strong,1
29,55,strong,1
32,55,strong,1
10,55,strong,1
18,55,strong,1
20,55,strong,1
5,55,strong,1
25,55,strong,1
23,55,strong,1
27,55,strong,1
4,55,strong,1
7,55,strong,1
9,55,strong,1
1,55,strong,1
2,55,strong,1
3,55,strong,1
6,55,strong,1
8,55,strong,1
11,55,strong,1
15,55,strong,1
24,55,strong,1
28,55,strong,1
30,55,strong,1
31,55,strong,1
33,55,strong,1
34,55,strong,1
35,55,strong,1
19,55,strong,1
33,56,strong,1
1,56,strong,1
32,56,strong,1
14,56,strong,1
26,56,strong,1
29,56,strong,1
23,56,strong,1
7,56,strong,1
11,56,strong,1
12,56,strong,1
13,56,strong,1
16,56,strong,1
25,56,strong,1
35,56,strong,1
19,56,strong,1
2,56,strong,1
3,56,strong,1
4,56,strong,1
6,56,strong,1
8,56,strong,1
9,56,strong,1
10,56,strong,1
15,56,strong,1
18,56,strong,1
20,56,strong,1
21,56,strong,1
22,56,strong,1
24,56,strong,1
27,56,strong,1
28,56,strong,1
30,56,strong,1
31,56,strong,1
34,56,strong,1
18,57,strong,1
1,57,strong,1
29,57,strong,1
26,57,strong,1
31,57,strong,1
21,57,strong,1
7,57,strong,1
16,57,strong,1
23,57,strong,1
3,57,strong,1
6,57,strong,1
9,57,strong,1
13,57,strong,1
14,57,strong,1
19,57,strong,1
28,57,strong,1
35,57,strong,1
25,57,strong,1
2,57,strong,1
32,57,strong,1
4,57,strong,1
5,57,strong,1
8,57,strong,1
10,57,strong,1
11,57,strong,1
15,57,strong,1
20,57,strong,1
22,57,strong,1
24,57,strong,1
27,57,strong,1
30,57,strong,1
33,57,strong,1
34,57,strong,1
21,58,strong,1
29,58,strong,1
30,58,strong,1
12,58,strong,1
25,58,strong,1
26,58,strong,1
10,58,strong,1
7,58,strong,1
20,58,strong,1
23,58,strong,1
31,58,strong,1
15,58,strong,1
35,58,strong,1
32,58,strong,1
16,58,strong,1
1,58,strong,1
2,58,strong,1
3,58,strong,1
4,58,strong,1
5,58,strong,1
6,58,strong,1
8,58,strong,1
9,58,strong,1
11,58,strong,1
13,58,strong,1
18,58,strong,1
19,58,strong,1
22,58,strong,1
24,58,strong,1
27,58,strong,1
28,58,strong,1
33,58,strong,1
34,58,strong,1
14,58,strong,1
23,59,strong,1
1,59,strong,1
26,59,strong,1
29,59,strong,1
30,59,strong,1
31,59,strong,1
12,59,strong,1
10,59,strong,1
11,59,strong,1
16,59,strong,1
19,59,strong,1
20,59,strong,1
22,59,strong,1
2,59,strong,1
3,59,strong,1
4,59,strong,1
5,59,strong,1
6,59,strong,1
7,59,strong,1
8,59,strong,1
9,59,strong,1
13,59,strong,1
14,59,strong,1
15,59,strong,1
18,59,strong,1
24,59,strong,1
27,59,strong,1
28,59,strong,1
33,59,strong,1
34,59,strong,1
35,59,strong,1
32,59,strong,1
25,59,strong,1
26,60,strong,1
1,60,strong,1
15,60,strong,1
20,60,strong,1
34,60,strong,1
21,60,strong,1
5,60,strong,1
7,60,strong,1
10,60,strong,1
12,60,strong,1
28,60,strong,1
33,60,strong,1
27,60,strong,1
18,60,strong,1
23,60,strong,1
2,60,strong,1
3,60,strong,1
4,60,strong,1
6,60,strong,1
8,60,strong,1
9,60,strong,1
11,60,strong,1
13,60,strong,1
14,60,strong,1
16,60,strong,1
19,60,strong,1
22,60,strong,1
24,60,strong,1
29,60,strong,1
30,60,strong,1
31,60,strong,1
32,60,strong,1
35,60,strong,1
25,60,strong,1
